source_file,task,outer_fold,split_strategy,screening_mode,row_policy,use_BDE,descriptor_mode,use_V7_formula_features,selected_view,selected_requested_k,selected_effective_k,n_features_after_variance,selected_model,inner_primary,inner_secondary,n_train,n_test,n_train_groups,n_test_groups,group_overlap,outer_R2,outer_RMSE,outer_MAE,n_test_neat,n_test_modified,outer_modified_R2,outer_modified_RMSE,outer_modified_MAE,conformal_alpha,conformal_q,conformal_n_calibration,outer_PICP,outer_MPIW,outer_modified_PICP,outer_modified_MPIW,selected_threshold,outer_Accuracy,outer_Balanced_Accuracy,outer_Macro_F1,outer_Weighted_F1,outer_Brier,outer_ECE,outer_TN,outer_FP,outer_FN,outer_TP,outer_ROC_AUC,outer_PR_AUC,outer_modified_Accuracy,outer_modified_Balanced_Accuracy,outer_modified_Macro_F1,outer_modified_Weighted_F1,outer_modified_Brier,outer_modified_ECE,outer_modified_TN,outer_modified_FP,outer_modified_FN,outer_modified_TP,outer_modified_ROC_AUC,outer_modified_PR_AUC
results\scientific_validation\FINAL_aux_fixed_baseline_inclusive_5x5\TS_MPa\molecule\formulation\without_BDE\TS_MPa_outer_fold_metrics.csv,TS_MPa,1,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140.0,140,303,GBDT,0.4879791556823823,-11.40253237050464,204,52,54,14,0,0.5581165386193077,10.923996695668698,9.334227417729336,13,39,0.6287916959933862,10.817670700661257,9.158227843170872,0.05,28.66924613300556,40.0,1.0,57.33849226601113,1.0,57.33849226601112,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_BDE_paired_ablation_5x5\TS_MPa\molecule\formulation\without_BDE\TS_MPa_outer_fold_metrics.csv,TS_MPa,1,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140.0,140,303,GBDT,0.4879791556823823,-11.40253237050464,204,52,54,14,0,0.5581165386193077,10.923996695668698,9.334227417729336,13,39,0.6287916959933862,10.817670700661257,9.158227843170872,0.05,28.66924613300556,40.0,1.0,57.33849226601113,1.0,57.33849226601112,,,,,,,,,,,,,,,,,,,,,,,,,
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\TS_MPa\molecule\formulation\without_BDE\TS_MPa_outer_fold_metrics.csv,TS_MPa,2,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140.0,140,298,GBDT,0.4473735881555839,-11.16058635894633,204,52,54,14,0,0.4985967762113538,14.04770182568164,11.293499005141747,13,39,0.5897796643470847,12.952891852508111,10.870988262418008,0.05,23.154504129364284,40.0,0.9230769230769232,46.309008258728575,0.9487179487179488,46.30900825872859,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_aux_fixed_baseline_inclusive_5x5\TS_MPa\molecule\formulation\without_BDE\TS_MPa_outer_fold_metrics.csv,TS_MPa,2,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140.0,140,298,GBDT,0.4473735881555839,-11.16058635894633,204,52,54,14,0,0.4985967762113538,14.04770182568164,11.293499005141747,13,39,0.5897796643470847,12.952891852508111,10.870988262418008,0.05,23.154504129364284,40.0,0.9230769230769232,46.309008258728575,0.9487179487179488,46.30900825872859,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_BDE_paired_ablation_5x5\TS_MPa\molecule\formulation\without_BDE\TS_MPa_outer_fold_metrics.csv,TS_MPa,2,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140.0,140,298,GBDT,0.4473735881555839,-11.16058635894633,204,52,54,14,0,0.4985967762113538,14.04770182568164,11.293499005141747,13,39,0.5897796643470847,12.952891852508111,10.870988262418008,0.05,23.154504129364284,40.0,0.9230769230769232,46.309008258728575,0.9487179487179488,46.30900825872859,,,,,,,,,,,,,,,,,,,,,,,,,
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\TS_MPa\molecule\formulation\without_BDE\TS_MPa_outer_fold_metrics.csv,TS_MPa,3,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140.0,140,292,XGB,0.4800633488805398,-11.81928954926367,204,52,54,14,0,0.3687965751536805,11.84841744271718,9.604699701162485,14,38,0.4022389455720905,11.862756108287812,9.570791200336656,0.05,37.6667724609375,40.0,1.0,75.33354492187497,1.0,75.33354492187496,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_aux_fixed_baseline_inclusive_5x5\TS_MPa\molecule\formulation\without_BDE\TS_MPa_outer_fold_metrics.csv,TS_MPa,3,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140.0,140,292,XGB,0.4800633488805398,-11.81928954926367,204,52,54,14,0,0.3687965751536805,11.84841744271718,9.604699701162485,14,38,0.4022389455720905,11.862756108287812,9.570791200336656,0.05,37.6667724609375,40.0,1.0,75.33354492187497,1.0,75.33354492187496,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_BDE_paired_ablation_5x5\TS_MPa\molecule\formulation\without_BDE\TS_MPa_outer_fold_metrics.csv,TS_MPa,3,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140.0,140,292,XGB,0.4800633488805398,-11.81928954926367,204,52,54,14,0,0.3687965751536805,11.84841744271718,9.604699701162485,14,38,0.4022389455720905,11.862756108287812,9.570791200336656,0.05,37.6667724609375,40.0,1.0,75.33354492187497,1.0,75.33354492187496,,,,,,,,,,,,,,,,,,,,,,,,,
results\05_Shap\FINAL_aux_fixed_baseline_inclusive_5x5\TS_MPa\molecule\formulation\without_BDE\TS_MPa_outer_fold_metrics.csv,TS_MPa,4,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140.0,140,302,RF,0.4956871525672295,-11.639878276461532,206,50,55,13,0,0.3661167741090224,11.85732276977182,9.524349246230866,13,37,0.4758131476018652,10.398307319678224,8.356116813854033,0.05,33.648896802859326,42.0,1.0,67.29779360571865,1.0,67.29779360571865,,,,,,,,,,,,,,,,,,,,,,,,,
results\scientific_validation\FINAL_aux_fixed_baseline_inclusive_5x5\TS_MPa\molecule\formulation\without_BDE\TS_MPa_outer_fold_metrics.csv,TS_MPa,4,molecule,formulation,baseline_inclusive,0,advanced,1,compact,140.0,140,302,RF,0.4956871525672295,-11.639878276461532,206,50,55,13,0,0.3661167741090224,11.85732276977182,9.524349246230866,13,37,0.4758131476018652,10.398307319678224,8.356116813854033,0.05,33.648896802859326,42.0,1.0,67.29779360571865,1.0,67.29779360571865,,,,,,,,,,,,,,,,,,,,,,,,,
