feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
N/P_ratio_sqrt,elemental_composition,0.01096522379891833,0.01096522379891833,-0.00099438796465952,-0.00099438796465952,1.0,0.0,0.8,0.2,79.2,5,5
main_morgan_r2_58,molecular_fingerprint,0.010739766881835191,0.010739766881835191,0.002530367357039385,0.002530367357039385,1.0,0.0,1.0,1.0,104.2,5,5
curing_morgan_r2_49,molecular_fingerprint,0.009619399512951161,0.009619399512951161,-0.002436177317361096,-0.002436177317361096,1.0,0.0,0.6,0.4,73.6,5,5
Loading_total_FR_sqrt,formulation_loading,0.009614212018058768,0.009614212018058768,-0.0026950319469683315,-0.0026950319469683315,1.0,0.0,0.75,0.25,98.2,5,5
main_morgan_r2_37,molecular_fingerprint,0.009547711093464684,0.009547711093464684,0.0007191272737123164,0.0007191272737123164,1.0,0.0,0.5,0.5,95.4,5,5
main_morgan_r2_107,molecular_fingerprint,0.008541605039656756,0.008541605039656756,-0.0015574599795949557,-0.0015574599795949557,1.0,0.0,1.0,0.0,157.2,5,5
curing_MolWt,molecular_descriptor,0.008524811272783869,0.008524811272783869,0.0021629412065564575,0.0021629412065564575,1.0,0.0,1.0,1.0,120.2,5,5
main_morgan_r2_77,molecular_fingerprint,0.008351234582034269,0.008351234582034269,-0.0016455063018373684,-0.0016455063018373684,1.0,0.0,0.6666666666666666,0.6666666666666666,121.6,5,5
main_morgan_r2_102,molecular_fingerprint,0.008271098902016492,0.008271098902016492,0.00035920753195882644,0.00035920753195882644,1.0,0.0,0.75,0.25,111.2,5,5
P_loading_real_sqrt,formulation_loading,0.007692485135639594,0.007692485135639594,-0.002804915202558964,-0.002804915202558964,1.0,0.0,1.0,0.0,130.0,5,5
Si_loading_real_sqrt,formulation_loading,0.007482645837454194,0.007482645837454194,-0.002923898392824334,-0.002923898392824334,1.0,0.0,0.8,0.8,93.6,5,5
P_B_loading_sum,formulation_loading,0.007428443582842464,0.007428443582842464,0.0003752739518477369,0.0003752739518477369,1.0,0.0,0.75,0.75,94.8,5,5
main_morgan_r2_82,molecular_fingerprint,0.007190242549322312,0.007190242549322312,-0.0022300881417415654,-0.0022300881417415654,1.0,0.0,0.75,0.25,99.8,5,5
main_morgan_r2_74,molecular_fingerprint,0.006553268827748103,0.006553268827748103,0.001931087373656872,0.001931087373656872,1.0,0.0,1.0,1.0,124.2,5,5
Synergy_type_P-N,other,0.006152440205836602,0.006152440205836602,-0.0015803640570923867,-0.0015803640570923867,1.0,0.0,0.8,0.2,93.2,5,5
main_morgan_r2_66,molecular_fingerprint,0.006142980451377939,0.006142980451377939,0.0014609822812703052,0.0014609822812703052,1.0,0.0,1.0,1.0,124.4,5,5
main_morgan_r2_39,molecular_fingerprint,0.006068255511225276,0.006068255511225276,0.0007539841632949568,0.0007539841632949568,1.0,0.0,1.0,1.0,118.2,5,5
main_morgan_r2_45,molecular_fingerprint,0.0058513173149808105,0.0058513173149808105,0.0014680597613010086,0.0014680597613010086,1.0,0.0,0.75,0.75,102.2,5,5
P_content_sq,elemental_composition,0.005727461048902341,0.005727461048902341,-0.001510317329924259,-0.001510317329924259,1.0,0.0,0.6666666666666666,0.3333333333333333,110.4,5,5
main_morgan_r2_99,molecular_fingerprint,0.005610244804903022,0.005610244804903022,-0.0008442694709743101,-0.0008442694709743101,1.0,0.0,0.6666666666666666,0.3333333333333333,132.2,5,5
main_morgan_r2_18,molecular_fingerprint,0.005429908200990133,0.005429908200990133,0.0018377377454086609,0.0018377377454086609,1.0,0.0,1.0,1.0,100.8,5,5
curing_morgan_r2_12,molecular_fingerprint,0.0054213306908895914,0.0054213306908895914,-0.002927939307451634,-0.002927939307451634,1.0,0.0,0.5,0.5,109.4,5,5
main_morgan_r2_27,molecular_fingerprint,0.005314741950752858,0.005314741950752858,0.0015199229643495613,0.0015199229643495613,1.0,0.0,0.75,0.25,115.2,5,5
main_morgan_r2_119,molecular_fingerprint,0.005118495077875372,0.005118495077875372,0.0009639364677191474,0.0009639364677191474,1.0,0.0,0.6666666666666666,0.3333333333333333,140.0,5,5
main_morgan_r2_3,molecular_fingerprint,0.0051100148980113965,0.0051100148980113965,-0.00036122499267620436,-0.00036122499267620436,1.0,0.0,0.6666666666666666,0.3333333333333333,111.4,5,5
main_morgan_r2_61,molecular_fingerprint,0.005100590269473413,0.005100590269473413,-0.0005429834832777608,-0.0005429834832777608,1.0,0.0,0.75,0.25,108.8,5,5
main_morgan_r2_127,molecular_fingerprint,0.004992818688267249,0.004992818688267249,-0.0015392479663657913,-0.0015392479663657913,1.0,0.0,0.5,0.5,135.8,5,5
main_morgan_r2_98,molecular_fingerprint,0.004878633621484427,0.004878633621484427,0.0003470824743941212,0.0003470824743941212,1.0,0.0,1.0,1.0,135.6,5,5
Preparation_Method_DOPO-based (additive),curing_and_preparation,0.004771683445572902,0.004771683445572902,0.0007541213604636856,0.0007541213604636856,1.0,0.0,0.6666666666666666,0.6666666666666666,151.4,5,5
main_morgan_r2_122,molecular_fingerprint,0.004691066097341887,0.004691066097341887,0.0003178490289619727,0.0003178490289619727,1.0,0.0,0.5,0.5,161.4,5,5
P_x_CuringAgent_Has_S,molecular_descriptor,0.004664469157565893,0.004664469157565893,-0.001904054958637128,-0.001904054958637128,1.0,0.0,0.8,0.2,95.0,5,5
main_morgan_r2_63,molecular_fingerprint,0.004476174055235581,0.004476174055235581,0.00039697872362155876,0.00039697872362155876,1.0,0.0,0.6666666666666666,0.3333333333333333,127.8,5,5
main_morgan_r2_21,molecular_fingerprint,0.00439798742316833,0.00439798742316833,-0.0010072595571714873,-0.0010072595571714873,1.0,0.0,0.6666666666666666,0.3333333333333333,168.0,5,5
main_morgan_r2_89,molecular_fingerprint,0.004277857927386414,0.004277857927386414,-0.0004673858518056526,-0.0004673858518056526,1.0,0.0,1.0,0.0,164.6,5,5
