feature,feature_group,mean_abs_shap,mean_signed_shap,rank,outer_fold,selected_view,selected_model,selected_requested_k,selected_effective_k
Loading_total_FR_sqrt,formulation_loading,0.0,0.0,176,3,compact,GBDT,260,260
S_content_wt%_sq,elemental_composition,0.0,0.0,177,3,compact,GBDT,260,260
P_content_sqrt,elemental_composition,0.0,0.0,178,3,compact,GBDT,260,260
P_content_sq,elemental_composition,0.0,0.0,179,3,compact,GBDT,260,260
main_morgan_r2_59,molecular_fingerprint,0.0,0.0,180,3,compact,GBDT,260,260
main_morgan_r2_54,molecular_fingerprint,0.0,0.0,181,3,compact,GBDT,260,260
main_morgan_r2_53,molecular_fingerprint,0.0,0.0,182,3,compact,GBDT,260,260
main_morgan_r2_91,molecular_fingerprint,0.0,0.0,183,3,compact,GBDT,260,260
main_morgan_r2_51,molecular_fingerprint,0.0,0.0,184,3,compact,GBDT,260,260
main_morgan_r2_89,molecular_fingerprint,0.0,0.0,185,3,compact,GBDT,260,260
main_morgan_r2_85,molecular_fingerprint,0.0,0.0,186,3,compact,GBDT,260,260
main_morgan_r2_84,molecular_fingerprint,0.0,0.0,187,3,compact,GBDT,260,260
main_morgan_r2_90,molecular_fingerprint,0.0,0.0,188,3,compact,GBDT,260,260
main_morgan_r2_79,molecular_fingerprint,0.0,0.0,189,3,compact,GBDT,260,260
main_morgan_r2_76,molecular_fingerprint,0.0,0.0,190,3,compact,GBDT,260,260
Synergy_type_P-N-Si-S,other,0.0,0.0,191,3,compact,GBDT,260,260
Synergy_type_P-N-S,other,0.0,0.0,192,3,compact,GBDT,260,260
main_morgan_r2_36,molecular_fingerprint,0.0,0.0,193,3,compact,GBDT,260,260
main_morgan_r2_35,molecular_fingerprint,0.0,0.0,194,3,compact,GBDT,260,260
main_morgan_r2_25,molecular_fingerprint,0.0,0.0,195,3,compact,GBDT,260,260
main_morgan_r2_24,molecular_fingerprint,0.0,0.0,196,3,compact,GBDT,260,260
N_loading_real_sq,formulation_loading,0.0,0.0,197,3,compact,GBDT,260,260
S_loading_real,formulation_loading,0.0,0.0,198,3,compact,GBDT,260,260
S_loading_real_sq,formulation_loading,0.0,0.0,199,3,compact,GBDT,260,260
S_loading_real_sqrt,formulation_loading,0.0,0.0,200,3,compact,GBDT,260,260
main_morgan_r2_74,molecular_fingerprint,0.0,0.0,201,3,compact,GBDT,260,260
main_morgan_r2_71,molecular_fingerprint,0.0,0.0,202,3,compact,GBDT,260,260
main_morgan_r2_69,molecular_fingerprint,0.0,0.0,203,3,compact,GBDT,260,260
main_morgan_r2_68,molecular_fingerprint,0.0,0.0,204,3,compact,GBDT,260,260
main_morgan_r2_103,molecular_fingerprint,0.0,0.0,205,3,compact,GBDT,260,260
main_morgan_r2_98,molecular_fingerprint,0.0,0.0,206,3,compact,GBDT,260,260
main_morgan_r2_97,molecular_fingerprint,0.0,0.0,207,3,compact,GBDT,260,260
main_morgan_r2_95,molecular_fingerprint,0.0,0.0,208,3,compact,GBDT,260,260
main_morgan_r2_109,molecular_fingerprint,0.0,0.0,209,3,compact,GBDT,260,260
main_morgan_r2_107,molecular_fingerprint,0.0,0.0,210,3,compact,GBDT,260,260
main_morgan_r2_105,molecular_fingerprint,0.0,0.0,211,3,compact,GBDT,260,260
main_morgan_r2_104,molecular_fingerprint,0.0,0.0,212,3,compact,GBDT,260,260
main_morgan_r2_125,molecular_fingerprint,0.0,0.0,213,3,compact,GBDT,260,260
main_morgan_r2_123,molecular_fingerprint,0.0,0.0,214,3,compact,GBDT,260,260
main_morgan_r2_122,molecular_fingerprint,0.0,0.0,215,3,compact,GBDT,260,260
