Candidate_ID,Preparation_Method,condition_source,loading_source,loadings_wt_percent,cone_fluxes_kW_m2,Curing_Agent,SMILES_Curing_Agent,Cure_Temp_Max,LOI_Thickness_mm,UL94_Thickness_mm,Cone_Thickness_mm
CAND_R2_207,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_208,DOPO-based (Additive + Secondary Crosslinking),same_preparation_method_training,Q25_Q50_Q75_training,3.5;5.29;10.0,50.0,DDS,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,250.0,4.0,3.0,4.0
CAND_R2_209,DOPO-based (Additive + Secondary Crosslinking),same_preparation_method_training,Q25_Q50_Q75_training,3.5;5.29;10.0,50.0,DDS,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,250.0,4.0,3.0,4.0
CAND_R2_210,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_211,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_212,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_213,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_214,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_215,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_216,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_217,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_218,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_219,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_220,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_221,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_222,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_223,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_224,DOPO-based (Co-curing),same_preparation_method_training,Q25_Q50_Q75_training,4.0;6.78;10.19,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,170.0,3.0,3.0,3.0
CAND_R2_225,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_226,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_227,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_228,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_229,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
CAND_R2_230,DOPO-based (Additive + Secondary Crosslinking),same_preparation_method_training,Q25_Q50_Q75_training,3.5;5.29;10.0,50.0,DDS,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,250.0,4.0,3.0,4.0
CAND_R2_231,DOPO-based (Additive + Secondary Crosslinking),same_preparation_method_training,Q25_Q50_Q75_training,3.5;5.29;10.0,50.0,DDS,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,250.0,4.0,3.0,4.0
CAND_R2_232,DOPO-based (additive),same_preparation_method_training,Q25_Q50_Q75_training,3.42;7.0;10.0,50.0,DDM,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,160.0,3.2,3.2,3.0
