Candidate_ID,Candidate_Name,Source_Type,Design_Family,Synthesis_Level,Candidate_rank_50,Pareto_rank_50,Final_ranking_score_50,Loading_total_FR wt%_50,LOI_pred_50,PHRR_pred_50,THR_pred_50,V0_probability_50,Tg_pred_50,TS_pred_50,max_similarity_50,Candidate_rank_35,Pareto_rank_35,Final_ranking_score_35,Loading_total_FR wt%_35,LOI_pred_35,PHRR_pred_35,THR_pred_35,V0_probability_35,Tg_pred_35,TS_pred_35,max_similarity_35,Rank_shift_35_minus_50,Abs_rank_shift,Mean_rank,Worst_rank,Pareto_both,Top20_both,Final_priority
CAND_R2_176,DSD-hydroxymethyl,designed,P-N-S,B,122,2.0,0.5855613196722476,10.0,34.138901917206404,740.9088064430625,63.73328025153899,0.6998314876832488,152.61119079589844,74.02779552029004,0.813953488372093,121,2.0,0.5919913043636303,10.0,34.138901917206404,731.0222401998042,63.73328025153899,0.6998314876832488,152.61119079589844,74.02779552029004,0.813953488372093,-1,1,121.5,122,False,False,False
CAND_R2_177,DSD-carboxamide,designed,P-N-S,B,123,2.0,0.5819621900511189,10.0,34.15600649310461,750.1472370116985,63.73328025153899,0.6970075290349417,153.3173828125,74.02779552029004,0.8045977011494253,122,2.0,0.5897634270218071,10.0,34.15600649310461,736.4376292959712,63.73328025153899,0.6970075290349417,153.3173828125,74.02779552029004,0.8045977011494253,-1,1,122.5,123,False,False,False
CAND_R2_178,DSD-boronic-acid,designed,P-N-B-S,B,121,2.0,0.5889723467913266,10.0,34.32158303389169,757.1236393178882,63.73328025153899,0.699139194977663,154.9152069091797,73.92268397396279,0.813953488372093,120,2.0,0.5957017223028905,10.0,34.32158303389169,745.396635987878,63.73328025153899,0.699139194977663,154.9152069091797,73.92268397396279,0.813953488372093,-1,1,120.5,121,False,False,False
CAND_R2_180,DSD-trimethoxysilyl,designed,P-N-Si-S,B,5,1.0,0.655075681925762,10.0,42.05055917160601,346.95938273403704,75.26130141230877,0.6589707464847055,179.99021911621094,59.66455287043811,0.7692307692307693,6,1.0,0.655075681925762,10.0,42.05055917160601,369.5756173213723,75.26130141230877,0.6589707464847055,179.99021911621094,59.66455287043811,0.7692307692307693,1,1,5.5,6,True,True,True
CAND_R2_181,DSD-triethoxysilyl,designed,P-N-Si-S,B,8,1.0,0.6458500525640372,10.0,42.05055917160601,367.9117228198456,76.97251016204966,0.6616573814112392,180.2188873291016,59.66455287043811,0.7368421052631579,9,1.0,0.6458500525640372,10.0,42.05055917160601,388.12657897393706,76.97251016204966,0.6616573814112392,180.2188873291016,59.66455287043811,0.7368421052631579,1,1,8.5,9,True,True,True
CAND_R2_182,DSD-disiloxane,designed,P-N-Si-S,B,43,1.0,0.5894678168507096,10.0,33.93439613710422,727.1036244828618,63.73328025153899,0.6924198226660078,155.58531188964844,74.86204126286493,0.7526881720430108,41,1.0,0.5963210106093999,10.0,33.93439613710422,717.2170582396035,63.73328025153899,0.6924198226660078,155.58531188964844,74.86204126286493,0.7526881720430108,-2,2,42.0,43,True,False,False
CAND_R2_190,DSD-OH-methyl,designed,P-N-S,B,125,2.0,0.5742362548919363,10.0,33.6315724176703,767.8474978187907,63.73328025153899,0.6995146568393136,155.95664978027344,74.28917835904339,0.8433734939759037,124,2.0,0.5813463496361996,10.0,33.6315724176703,754.4810963927246,63.73328025153899,0.6995146568393136,155.95664978027344,74.28917835904339,0.8433734939759037,-1,1,124.5,125,False,False,False
CAND_R2_191,DSD-OH-methyl-all,designed,P-N-S,B,124,2.0,0.5797367728151247,10.0,34.03305808764281,769.3260083087675,63.73328025153899,0.6967805396359509,155.95664978027344,74.25229018610715,0.7349397590361446,123,2.0,0.5868015426192842,10.0,34.03305808764281,755.9596068827015,63.73328025153899,0.6967805396359509,155.95664978027344,74.25229018610715,0.7349397590361446,-1,1,123.5,124,False,False,False
CAND_R2_192,DSD-OH-acetyl,designed,P-N-S,B,22,1.0,0.6244943860906854,10.0,34.733092342225724,704.7999600842345,63.73328025153899,0.6986542214245401,156.11529541015625,74.28917835904339,0.7954545454545454,21,1.0,0.6335372543193974,10.0,34.733092342225724,691.4335586581684,63.73328025153899,0.6986542214245401,156.11529541015625,74.28917835904339,0.7954545454545454,-1,1,21.5,22,True,False,False
CAND_R2_193,DSD-OH-acetyl-all,designed,P-N-S,B,11,1.0,0.6354873291836054,10.0,35.183131650660386,701.3081625497451,63.73328025153899,0.6972178496673591,156.7158660888672,74.25229018610715,0.7045454545454546,10,1.0,0.6446372413022173,10.0,35.183131650660386,687.941761123679,63.73328025153899,0.6972178496673591,156.7158660888672,74.25229018610715,0.7045454545454546,-1,1,10.5,11,True,True,True
