task,seed,split_id,repeat,fold,k_best,model,target_mode,model_variant,test_R2,test_RMSE,test_MAE,n_samples,test_size,selected_features,split
pc_pn,15,15,3,5,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.8215413934490954,21.146936125304816,15.561432078559674,239,,1100,repeated_kfold
pc_pn,15,15,3,5,1100,SoftVote_local,raw,SoftVote_local__raw,0.8320997468841409,20.51182866176753,15.135433356359593,239,,1100,repeated_kfold
pc_pn,15,15,3,5,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.825993039728204,20.881515500201793,15.801563011456603,239,,1200,repeated_kfold
pc_pn,15,15,3,5,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.818205667753184,21.343659028801792,15.88743044189844,239,,1200,repeated_kfold
pc_pn,15,15,3,5,1200,SoftVote_local,raw,SoftVote_local__raw,0.827166152220437,20.81100741952667,15.518739713436288,239,,1200,repeated_kfold
pc_pn,15,15,3,5,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.8193731353771241,21.275015070207758,15.603674304418934,239,,1300,repeated_kfold
pc_pn,15,15,3,5,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.82036528357798,21.21650485540954,15.535834697217659,239,,1300,repeated_kfold
pc_pn,15,15,3,5,1300,SoftVote_local,raw,SoftVote_local__raw,0.8316341870330224,20.540246943142325,14.872036510901145,239,,1300,repeated_kfold
pc_pn,16,16,4,1,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.747987336459466,24.286375589200933,18.78021634615372,239,,1100,repeated_kfold
pc_pn,16,16,4,1,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7831478708624968,22.528556740264275,17.2265705128204,239,,1100,repeated_kfold
pc_pn,16,16,4,1,1100,SoftVote_local,raw,SoftVote_local__raw,0.7635541757221138,23.524334664406645,17.993108101488016,239,,1100,repeated_kfold
pc_pn,16,16,4,1,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7448213262300445,24.43845311648632,18.730552884615307,239,,1200,repeated_kfold
pc_pn,16,16,4,1,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7795160973130134,22.7164241303776,17.13264423076914,239,,1200,repeated_kfold
pc_pn,16,16,4,1,1200,SoftVote_local,raw,SoftVote_local__raw,0.761611532384571,23.620775168306498,18.023149488408407,239,,1200,repeated_kfold
pc_pn,16,16,4,1,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7380135107427921,24.76229952117591,19.101506410256324,239,,1300,repeated_kfold
pc_pn,16,16,4,1,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7768219495036517,22.854791553930614,17.25312499999986,239,,1300,repeated_kfold
pc_pn,16,16,4,1,1300,SoftVote_local,raw,SoftVote_local__raw,0.7580842289690204,23.79488530809799,18.09925378577147,239,,1300,repeated_kfold
pc_pn,17,17,4,2,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7690276854835874,22.28463648471002,15.62501602564099,239,,1100,repeated_kfold
pc_pn,17,17,4,2,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7543394357428151,22.98229068849118,16.248084935897378,239,,1100,repeated_kfold
pc_pn,17,17,4,2,1100,SoftVote_local,raw,SoftVote_local__raw,0.7523084713962944,23.077096579705575,15.92618178164964,239,,1100,repeated_kfold
pc_pn,17,17,4,2,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7700389218088222,22.235799996108966,15.682483974358925,239,,1200,repeated_kfold
pc_pn,17,17,4,2,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.73833899445173,23.718930030721623,16.719407051282023,239,,1200,repeated_kfold
pc_pn,17,17,4,2,1200,SoftVote_local,raw,SoftVote_local__raw,0.7456368139590799,23.385826267888635,16.233399544625904,239,,1200,repeated_kfold
pc_pn,17,17,4,2,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.7683911174005751,22.315323988827284,15.588926282051277,239,,1300,repeated_kfold
pc_pn,17,17,4,2,1300,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.7483605356467602,23.26028153437834,16.248098290598303,239,,1300,repeated_kfold
pc_pn,17,17,4,2,1300,SoftVote_local,raw,SoftVote_local__raw,0.7517653156369237,23.10238528032587,15.823939061895288,239,,1300,repeated_kfold
pc_pn,18,18,4,3,1100,RF_sqrt_local,raw,RF_sqrt_local__raw,0.5996806751516464,23.03817191337734,16.116113782051183,239,,1100,repeated_kfold
pc_pn,18,18,4,3,1100,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.6165739939047229,22.54683153204969,15.842630876068354,239,,1100,repeated_kfold
pc_pn,18,18,4,3,1100,SoftVote_local,raw,SoftVote_local__raw,0.6526270829073676,21.460642243482148,15.008821849863986,239,,1100,repeated_kfold
pc_pn,18,18,4,3,1200,RF_sqrt_local,raw,RF_sqrt_local__raw,0.6292956954814881,22.16963543104538,15.674230769230688,239,,1200,repeated_kfold
pc_pn,18,18,4,3,1200,ExtraTrees_sqrt_local,raw,ExtraTrees_sqrt_local__raw,0.6147241037447653,22.60115619216728,15.908034188034113,239,,1200,repeated_kfold
pc_pn,18,18,4,3,1200,SoftVote_local,raw,SoftVote_local__raw,0.6576119202672013,21.306104612253687,15.094552533625297,239,,1200,repeated_kfold
pc_pn,18,18,4,3,1300,RF_sqrt_local,raw,RF_sqrt_local__raw,0.5962021521161678,23.138049024035737,16.16359775641018,239,,1300,repeated_kfold
