task,grouping,group,n,Accuracy,Balanced_Accuracy,Macro_F1,ROC_AUC,PR_AUC,Brier,ECE,Accuracy_bootstrap_CI_low,Accuracy_bootstrap_CI_high,reliable_threshold,caution_threshold
UL94_V0,AD_zone_temp,Caution,392,0.7959183673469388,0.8014715543292603,0.7958333333333334,0.8748653265011168,0.7954663120405245,0.1390085821193026,0.048352236473942385,,,0.75,0.5
UL94_V0,AD_zone_temp,Extrapolation,147,0.7482993197278912,0.7472795497185741,0.7459954233409611,0.8296435272045029,0.7597910540261505,0.16639629412108978,0.05009009926395301,,,0.75,0.5
UL94_V0,AD_zone_temp,In_domain,60,0.7666666666666667,0.7869062901155327,0.7532314923619272,0.8048780487804877,0.540188319497322,0.19185230437745912,0.21237211737631334,,,0.75,0.5
UL94_V0,AD_zone_temp,Caution,311,0.8135048231511254,0.8200501253132833,0.8134566062712005,0.8931077694235589,0.8200375741578957,0.12837835139758405,0.05767590360776974,,,0.75,0.55
UL94_V0,AD_zone_temp,Extrapolation,228,0.7412280701754386,0.7415966386554622,0.7397814101944096,0.816604419545596,0.7108318433283121,0.171166456762799,0.0634611142186892,,,0.75,0.55
UL94_V0,AD_zone_temp,In_domain,60,0.7666666666666667,0.7869062901155327,0.7532314923619272,0.8048780487804877,0.540188319497322,0.19185230437745912,0.21237211737631334,,,0.75,0.55
UL94_V0,AD_zone_temp,Caution,230,0.8304347826086956,0.8361538461538461,0.8297104888467015,0.9119230769230768,0.8343312252732109,0.11953348468945472,0.07012439339226341,,,0.75,0.6
UL94_V0,AD_zone_temp,Extrapolation,309,0.7475728155339806,0.7506536223327991,0.7474432056333306,0.8252509066374294,0.7458308897629014,0.16653371504204606,0.0614698603297821,,,0.75,0.6
UL94_V0,AD_zone_temp,In_domain,60,0.7666666666666667,0.7869062901155327,0.7532314923619272,0.8048780487804877,0.540188319497322,0.19185230437745912,0.21237211737631334,,,0.75,0.6
UL94_V0,AD_zone_temp,Caution,541,0.7966728280961183,0.8001876690401281,0.7963046633259399,0.8687834630457582,0.7848006465098767,0.14375766073538085,0.04827603048209077,,,0.8,0.35
UL94_V0,AD_zone_temp,Extrapolation,28,0.6071428571428571,0.6122994652406417,0.6025806451612903,0.7112299465240641,0.6616340331651337,0.2067291720407745,0.1985415687021952,,,0.8,0.35
UL94_V0,AD_zone_temp,In_domain,30,0.6666666666666666,0.7291666666666667,0.625,0.7916666666666667,0.33503441003441004,0.2300482138077214,0.2657832411096548,,,0.8,0.35
UL94_V0,AD_zone_temp,Caution,504,0.8055555555555556,0.8107794335151641,0.8054054054054054,0.8739324734808124,0.7893064357641307,0.13984117335043592,0.04979643487759131,,,0.8,0.4
UL94_V0,AD_zone_temp,Extrapolation,65,0.6461538461538462,0.6327220077220077,0.6336682185738789,0.7557915057915058,0.6777076129101134,0.2012516908671234,0.15628582062928606,,,0.8,0.4
UL94_V0,AD_zone_temp,In_domain,30,0.6666666666666666,0.7291666666666667,0.625,0.7916666666666667,0.33503441003441004,0.2300482138077214,0.2657832411096548,,,0.8,0.4
UL94_V0,AD_zone_temp,Caution,472,0.8050847457627118,0.8094618055555556,0.8050287356321839,0.8736798321759258,0.7931730871258726,0.13996480200226075,0.05369906021697506,,,0.8,0.45
UL94_V0,AD_zone_temp,Extrapolation,97,0.7010309278350515,0.6912024756852344,0.6903687396807925,0.7939876215738284,0.69279028703444,0.18039097659706843,0.08436566777346777,,,0.8,0.45
