feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
main_morgan_r2_67,molecular_fingerprint,0.0033158009945868,0.0165790049729343,0.0008883881236975,0.0044419406184878,0.2,0.0,1.0,1.0,179.2,1,5,Low
Preparation_Method_DOPO-based (additive),curing_and_preparation,0.0029240428599027,0.0146202142995137,0.0003150483889457,0.0015752419447287,0.2,0.0,1.0,1.0,176.6,1,5,Low
N/P_ratio_sq,elemental_composition,0.0026480472376864,0.0026480472376864,-0.0008962832951604,-0.0008962832951604,1.0,0.0,1.0,0.0,101.8,5,5,Low
main_morgan_r2_44,molecular_fingerprint,0.0025489796623844,0.0031862245779805,-0.0014735571830324,-0.0018419464787905,0.8,0.0,1.0,0.0,122.8,4,5,Low
S/P ratio,elemental_composition,0.0024836753615635,0.0031045942019544,2.1669647524642597e-05,2.708705940580324e-05,0.8,0.0,0.6666666666666666,0.6666666666666666,117.8,4,5,Low
main_co_similarity_sq,other,0.0021975689604273,0.0027469612005341,-0.0007132127358904,-0.000891515919863,0.8,0.0,0.5,0.5,120.6,4,5,Low
Loading_total_FR_sq,formulation_loading,0.002151165174571,0.0107558258728554,-0.0001421380527198,-0.000710690263599,0.2,0.0,1.0,0.0,180.4,1,5,Low
curing_morgan_r2_78,molecular_fingerprint,0.0020998773916003,0.0026248467395004,-0.0001514359321755,-0.0001892949152194,0.8,0.0,1.0,0.0,143.6,4,5,Low
curing_morgan_r2_33,molecular_fingerprint,0.001857775172273,0.0030962919537883,0.001857775172273,0.0030962919537883,0.6,0.0,1.0,1.0,157.0,3,5,Low
main_morgan_r2_98,molecular_fingerprint,0.0018325547480076,0.0018325547480076,-0.0007361692805205,-0.0007361692805205,1.0,0.0,1.0,0.0,118.8,5,5,Low
curing_morgan_r2_86,molecular_fingerprint,0.001797322838123,0.0029955380635383,-0.0017970876997862,-0.0029951461663103,0.6,0.0,1.0,0.0,155.4,3,5,Low
main_morgan_r2_60,molecular_fingerprint,0.0017844557786794,0.0017844557786794,0.0003145011349808,0.0003145011349808,1.0,0.0,0.6666666666666666,0.3333333333333333,114.4,5,5,Low
curing_HBA,molecular_descriptor,0.0017179477552495,0.0042948693881238,1.4211499923840194e-05,3.5528749809600486e-05,0.4,0.0,1.0,1.0,168.4,2,5,Low
Has_P,elemental_composition,0.0015996336742847,0.0015996336742847,0.0003002655956506,0.0003002655956506,1.0,0.0,1.0,1.0,103.0,5,5,Low
main_morgan_r2_20,molecular_fingerprint,0.0015135124413296,0.0025225207355494,-0.0004873885791127,-0.0008123142985213,0.6,0.0,1.0,0.0,141.0,3,5,Low
main_morgan_r2_125,molecular_fingerprint,0.0013544309926219,0.0067721549631096,-0.0004727335527461,-0.0023636677637308,0.2,0.0,1.0,0.0,185.6,1,5,Low
