feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
Synergy_type_P-N,other,0.0128603534502057,0.0643017672510285,0.0005594887186576,0.0027974435932884,0.2,0.0,1.0,1.0,352.8,1,5,Low
main_morgan_r3_432,molecular_fingerprint,0.0123160400227864,0.0123160400227864,0.0006976082867018,0.0006976082867018,1.0,0.0,0.6666666666666666,0.3333333333333333,164.6,5,5,Low
Preparation_Method_DOPO-based (reactive),curing_and_preparation,0.0122528382190597,0.0612641910952987,-0.0007934168671363,-0.0039670843356819,0.2,0.0,1.0,0.0,355.6,1,5,Low
main_morgan_r3_287,molecular_fingerprint,0.0121147658683772,0.0121147658683772,-0.0035889240307113,-0.0035889240307113,1.0,0.0,0.75,0.25,132.0,5,5,Low
P_loading_real_sqrt,formulation_loading,0.0119308246452352,0.0119308246452352,-0.0016416946231579,-0.0016416946231579,1.0,0.0,0.5,0.5,143.2,5,5,Low
Has_Si,elemental_composition,0.0116805815900509,0.0292014539751272,0.0080417069196524,0.0201042672991311,0.4,0.0,0.5,0.5,303.6,2,5,Low
main_morgan_r3_25,molecular_fingerprint,0.0108616484003486,0.0543082420017432,-0.0108616484003486,-0.0543082420017432,0.2,0.0,1.0,0.0,356.2,1,5,Low
main_morgan_r3_206,molecular_fingerprint,0.0107810534273066,0.0107810534273066,-0.0027775424862376,-0.0027775424862376,1.0,0.0,0.6666666666666666,0.6666666666666666,152.0,5,5,Low
curing_morgan_r3_336,molecular_fingerprint,0.0105079843330809,0.0175133072218015,-0.0017824440270325,-0.0029707400450543,0.6,0.0,0.5,0.5,269.0,3,5,Low
S_content wt%,elemental_composition,0.0104627174263716,0.0523135871318582,-0.0039587076499333,-0.0197935382496669,0.2,0.0,1.0,0.0,354.8,1,5,Low
main_morgan_r3_251,molecular_fingerprint,0.0101306049821694,0.0126632562277117,-0.0040863808071183,-0.0051079760088978,0.8,0.0,1.0,0.0,191.2,4,5,Low
main_morgan_r3_201,molecular_fingerprint,0.0099577052898314,0.0124471316122893,-0.0033044576351261,-0.0041305720439076,0.8,0.0,0.6666666666666666,0.3333333333333333,184.8,4,5,Low
main_morgan_r3_338,molecular_fingerprint,0.0098782914900641,0.0123478643625801,-0.0043024172152735,-0.0053780215190919,0.8,0.0,0.6666666666666666,0.3333333333333333,204.4,4,5,Low
main_morgan_r3_102,molecular_fingerprint,0.0097688017891163,0.0244220044727909,0.0017525746538325,0.0043814366345813,0.4,0.0,0.5,0.5,292.0,2,5,Low
main_morgan_r3_66,molecular_fingerprint,0.0096820261078472,0.0484101305392363,0.008406477234585,0.042032386172925,0.2,0.0,1.0,1.0,355.4,1,5,Low
P_loading_real_sq,formulation_loading,0.0094281178315566,0.0117851472894458,0.002692394507678,0.0033654931345976,0.8,0.0,0.75,0.75,176.0,4,5,Low
main_morgan_r3_322,molecular_fingerprint,0.0094277980282182,0.0117847475352728,-0.0009390518936022,-0.0011738148670028,0.8,0.0,0.6666666666666666,0.6666666666666666,198.0,4,5,Low
main_morgan_r3_168,molecular_fingerprint,0.0093054482381439,0.0093054482381439,-0.0030279892155376,-0.0030279892155376,1.0,0.0,0.75,0.25,138.4,5,5,Low
S_loading_real_sqrt,formulation_loading,0.0092612695194159,0.0231531737985399,0.0035760974206237,0.0089402435515593,0.4,0.0,0.5,0.5,297.2,2,5,Low
curing_morgan_r3_66,molecular_fingerprint,0.0089543550351841,0.0111929437939802,0.0082054481184179,0.0102568101480223,0.8,0.0,0.5,0.5,227.4,4,5,Low
curing_AliphaticRings,molecular_descriptor,0.008952612844313,0.008952612844313,0.0027944024013941,0.0027944024013941,1.0,0.0,1.0,1.0,142.8,5,5,Low
main_morgan_r3_162,molecular_fingerprint,0.0089212316624239,0.0223030791560598,0.0032435038234295,0.0081087595585739,0.4,0.0,1.0,1.0,296.8,2,5,Low
main_morgan_r3_128,molecular_fingerprint,0.00883166043438,0.0147194340573,-0.0031649045269872,-0.0052748408783121,0.6,0.0,1.0,0.0,239.8,3,5,Low
curing_morgan_r3_138,molecular_fingerprint,0.0088022531975336,0.0146704219958894,0.0021098152552213,0.0035163587587023,0.6,0.0,1.0,1.0,233.4,3,5,Low
main_morgan_r3_204,molecular_fingerprint,0.0085149173913631,0.0106436467392039,-0.0046157826413831,-0.0057697283017289,0.8,0.0,0.6666666666666666,0.3333333333333333,201.6,4,5,Low
main_morgan_r3_69,molecular_fingerprint,0.0084192263568337,0.0105240329460421,-0.0081731478726077,-0.0102164348407596,0.8,0.0,1.0,0.0,199.2,4,5,Low
main_morgan_r3_181,molecular_fingerprint,0.0083947695496436,0.0104934619370545,-0.0054173300616697,-0.0067716625770871,0.8,0.0,1.0,0.0,185.4,4,5,Low
main_Kappa1,other,0.0081356817219606,0.0406784086098034,0.0010713985142722,0.0053569925713613,0.2,0.0,1.0,1.0,358.0,1,5,Low
main_morgan_r3_18,molecular_fingerprint,0.0081212208642035,0.0081212208642035,-0.0004242806772397,-0.0004242806772397,1.0,0.0,0.6666666666666666,0.6666666666666666,153.2,5,5,Low
main_morgan_r3_79,molecular_fingerprint,0.0079125183800621,0.0131875306334368,0.0048430448479473,0.0080717414132456,0.6,0.0,0.5,0.5,247.8,3,5,Low
S/P_ratio_sq,elemental_composition,0.007793415940966,0.0097417699262075,-0.0040470512577513,-0.0050588140721892,0.8,0.0,0.6666666666666666,0.6666666666666666,211.8,4,5,Low
main_morgan_r3_290,molecular_fingerprint,0.0075909044931888,0.0075909044931888,0.0013739471354422,0.0013739471354422,1.0,0.0,0.6666666666666666,0.6666666666666666,161.6,5,5,Low
main_morgan_r3_81,molecular_fingerprint,0.0075793589708692,0.0075793589708692,0.0019785512769788,0.0019785512769788,1.0,0.0,0.6666666666666666,0.6666666666666666,144.2,5,5,Low
main_LabuteASA,other,0.0075739232971725,0.0378696164858626,0.0003757715938673,0.0018788579693365,0.2,0.0,1.0,1.0,358.6,1,5,Low
main_MolMR,other,0.0074444350738135,0.0372221753690677,-0.0012428357813542,-0.0062141789067714,0.2,0.0,1.0,0.0,358.8,1,5,Low
main_morgan_r3_167,molecular_fingerprint,0.0074214135557413,0.0185535338893532,0.0001818119328882,0.0004545298322207,0.4,0.0,1.0,1.0,295.0,2,5,Low
main_morgan_r3_308,molecular_fingerprint,0.0073541307949689,0.0091926634937111,-0.0005051305784899,-0.0006314132231124,0.8,0.0,0.6666666666666666,0.3333333333333333,204.8,4,5,Low
main_morgan_r3_20,molecular_fingerprint,0.0072923574226917,0.0072923574226917,0.0038102575915658,0.0038102575915658,1.0,0.0,0.6666666666666666,0.6666666666666666,159.6,5,5,Low
main_morgan_r3_145,molecular_fingerprint,0.0070552173623797,0.0352760868118989,-0.0025667457806757,-0.0128337289033785,0.2,0.0,1.0,0.0,359.4,1,5,Low
main_morgan_r3_1,molecular_fingerprint,0.007025142150606,0.0087814276882575,0.0003103162181424,0.000387895272678,0.8,0.0,0.6666666666666666,0.3333333333333333,195.4,4,5,Low
main_morgan_r3_186,molecular_fingerprint,0.0068396567515274,0.0113994279192123,-0.0027075994257077,-0.0045126657095129,0.6,0.0,1.0,0.0,251.2,3,5,Low
main_morgan_r3_357,molecular_fingerprint,0.006778890953162,0.0084736136914526,-0.0013925840724302,-0.0017407300905378,0.8,0.0,1.0,0.0,213.4,4,5,Low
Main_FR_fraction,formulation_loading,0.0066166848311032,0.008270856038879,-0.0003386748060346,-0.0004233435075433,0.8,0.0,0.6666666666666666,0.6666666666666666,219.4,4,5,Low
main_morgan_r3_265,molecular_fingerprint,0.0065758837878389,0.0065758837878389,-0.000274751395886,-0.000274751395886,1.0,0.0,0.5,0.5,150.2,5,5,Low
main_morgan_r3_22,molecular_fingerprint,0.0065192458668553,0.0065192458668553,-0.0002346088885129,-0.0002346088885129,1.0,0.0,0.6666666666666666,0.6666666666666666,142.4,5,5,Low
main_morgan_r3_185,molecular_fingerprint,0.0059235614805236,0.0059235614805236,-0.0018734677929012,-0.0018734677929012,1.0,0.0,0.5,0.5,161.4,5,5,Low
main_morgan_r3_27,molecular_fingerprint,0.005863301784089,0.0073291272301112,-0.0023958650819172,-0.0029948313523965,0.8,0.0,0.5,0.5,206.4,4,5,Low
main_morgan_r3_90,molecular_fingerprint,0.005755058235437,0.0143876455885927,0.0016992894329855,0.0042482235824637,0.4,0.0,1.0,1.0,295.8,2,5,Low
main_morgan_r3_139,molecular_fingerprint,0.0057258142065105,0.0071572677581382,0.0038459524373821,0.0048074405467276,0.8,0.0,0.6666666666666666,0.6666666666666666,195.4,4,5,Low
main_morgan_r3_61,molecular_fingerprint,0.0054691565603414,0.0068364457004268,0.0006306907863752,0.0007883634829691,0.8,0.0,0.5,0.5,197.0,4,5,Low
main_ExactMolWt,molecular_descriptor,0.005402847703623,0.0270142385181154,0.0004509400707554,0.0022547003537773,0.2,0.0,1.0,1.0,360.8,1,5,Low
main_morgan_r3_442,molecular_fingerprint,0.0053950339366349,0.0134875848415874,0.0001888934101335,0.0004722335253339,0.4,0.0,0.5,0.5,298.2,2,5,Low
N/P_ratio_sqrt,elemental_composition,0.0051561390807584,0.0051561390807584,-0.0013620841825454,-0.0013620841825454,1.0,0.0,1.0,0.0,157.0,5,5,Low
P_content_sqrt,elemental_composition,0.0051310681005643,0.0051310681005643,0.000537282804307,0.000537282804307,1.0,0.0,0.6666666666666666,0.6666666666666666,158.2,5,5,Low
main_morgan_r3_400,molecular_fingerprint,0.0051194407481493,0.0255972037407466,0.0035971677805193,0.0179858389025967,0.2,0.0,1.0,1.0,358.4,1,5,Low
main_morgan_r3_286,molecular_fingerprint,0.0051032086208137,0.0063790107760171,-0.0020306081955247,-0.0025382602444059,0.8,0.0,1.0,0.0,207.0,4,5,Low
main_morgan_r3_409,molecular_fingerprint,0.0050814053560779,0.0063517566950974,-0.002127724129879,-0.0026596551623488,0.8,0.0,0.5,0.5,200.8,4,5,Low
main_morgan_r3_118,molecular_fingerprint,0.0050543380919154,0.0126358452297885,0.0009536516923992,0.002384129230998,0.4,0.0,1.0,1.0,308.8,2,5,Low
main_morgan_r3_390,molecular_fingerprint,0.0048789156249291,0.0048789156249291,0.0010306487124148,0.0010306487124148,1.0,0.0,0.6666666666666666,0.6666666666666666,175.6,5,5,Low
