feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds
N_content_wt%_sqrt,elemental_composition,0.08046371340903298,0.08046371340903298,-0.00436944005632979,-0.00436944005632979,1.0,0.0,0.6,0.4,37.2,5,5
main_MolWt,molecular_descriptor,0.06418404686527923,0.06418404686527923,-0.00038120604060327967,-0.00038120604060327967,1.0,0.0,0.5,0.5,57.8,5,5
main_morgan_r2_92,molecular_fingerprint,0.05512907970707352,0.05512907970707352,-0.0037527787748740217,-0.0037527787748740217,1.0,0.0,0.6,0.6,58.0,5,5
curing_Kappa2,molecular_descriptor,0.051559193386307434,0.051559193386307434,-0.0028810708340293225,-0.0028810708340293225,1.0,0.0,0.5,0.5,65.8,5,5
Synergy_type_P-N-S,other,0.04587791760706086,0.04587791760706086,-0.00394238625105747,-0.00394238625105747,1.0,0.0,0.6666666666666666,0.3333333333333333,71.0,5,5
main_AromaticHeterocycles,other,0.0456065698727419,0.0456065698727419,-0.018679520996766952,-0.018679520996766952,1.0,0.0,0.8,0.2,52.2,5,5
main_NumValenceElectrons,other,0.04344380235935609,0.04344380235935609,-0.006625428880080157,-0.006625428880080157,1.0,0.0,0.6,0.6,60.4,5,5
curing_RotBonds,molecular_descriptor,0.03595883991815345,0.03595883991815345,0.03595883991815345,0.03595883991815345,1.0,0.0,1.0,1.0,80.6,5,5
main_Kappa1,other,0.034809570944570004,0.034809570944570004,-0.005674551017849204,-0.005674551017849204,1.0,0.0,0.5,0.5,74.8,5,5
curing_LabuteASA,molecular_descriptor,0.032840671276222234,0.032840671276222234,-0.007896704049947833,-0.007896704049947833,1.0,0.0,0.75,0.75,79.2,5,5
S_content wt%,elemental_composition,0.031276194127942206,0.031276194127942206,-0.013007066407787576,-0.013007066407787576,1.0,0.0,0.8,0.2,69.6,5,5
main_morgan_r2_75,molecular_fingerprint,0.029399107907650796,0.029399107907650796,0.002150449229944443,0.002150449229944443,1.0,0.0,0.6666666666666666,0.3333333333333333,79.0,5,5
main_Kappa2,other,0.028683732609447853,0.028683732609447853,-0.002529525828379644,-0.002529525828379644,1.0,0.0,0.75,0.25,71.2,5,5
main_ExactMolWt,molecular_descriptor,0.027607338640189615,0.027607338640189615,-0.007851909382546195,-0.007851909382546195,1.0,0.0,0.8,0.2,65.0,5,5
S_loading_real,formulation_loading,0.026811324827358103,0.026811324827358103,-0.011904566301398467,-0.011904566301398467,1.0,0.0,0.8,0.2,63.0,5,5
main_morgan_r2_55,molecular_fingerprint,0.026007290842842028,0.026007290842842028,0.0007571133472754477,0.0007571133472754477,1.0,0.0,0.5,0.5,71.6,5,5
Main_FR_fraction,formulation_loading,0.025536256278896878,0.025536256278896878,-0.0013989888936118025,-0.0013989888936118025,1.0,0.0,0.6666666666666666,0.3333333333333333,79.2,5,5
main_AromaticCarbocycles,other,0.0252337000355869,0.0252337000355869,-0.0004057487752672395,-0.0004057487752672395,1.0,0.0,0.8,0.8,65.6,5,5
curing_FractionCSP3,molecular_descriptor,0.023886225158740608,0.023886225158740608,-0.017701275343811402,-0.017701275343811402,1.0,0.0,0.5,0.5,103.8,5,5
curing_NHOHCount,molecular_descriptor,0.023627608733836358,0.023627608733836358,-0.002195076298563628,-0.002195076298563628,1.0,0.0,0.75,0.75,89.8,5,5
main_LabuteASA,other,0.01943611518165841,0.01943611518165841,-0.0030831458935767823,-0.0030831458935767823,1.0,0.0,0.75,0.25,79.2,5,5
