feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
main_morgan_r2_34,molecular_fingerprint,0.0037417682532095,0.0037417682532095,0.0003248349295213,0.0003248349295213,1.0,0.0,0.5,0.5,147.0,5,5,Low
main_morgan_r2_15,molecular_fingerprint,0.0037002507106522,0.0037002507106522,-0.0014925167140537,-0.0014925167140537,1.0,0.0,0.75,0.25,115.4,5,5,Low
curing_HBD,molecular_descriptor,0.003683463731841,0.003683463731841,0.0010667208209008,0.0010667208209008,1.0,0.0,0.6666666666666666,0.6666666666666666,172.2,5,5,Low
main_morgan_r2_60,molecular_fingerprint,0.0035841644895666,0.0035841644895666,0.001946766794329,0.001946766794329,1.0,0.0,0.5,0.5,140.0,5,5,Low
main_morgan_r2_76,molecular_fingerprint,0.0034859614916431,0.0034859614916431,0.0013156402215105,0.0013156402215105,1.0,0.0,1.0,1.0,151.6,5,5,Low
main_morgan_r2_84,molecular_fingerprint,0.0034100463248189,0.0034100463248189,-0.0007740592109256,-0.0007740592109256,1.0,0.0,1.0,0.0,165.4,5,5,Low
main_morgan_r2_55,molecular_fingerprint,0.0033176449072697,0.0033176449072697,-0.0002928330711321,-0.0002928330711321,1.0,0.0,0.5,0.5,149.6,5,5,Low
main_morgan_r2_120,molecular_fingerprint,0.0033097577975758,0.0033097577975758,-0.0018950147883755,-0.0018950147883755,1.0,0.0,0.6666666666666666,0.6666666666666666,164.4,5,5,Low
S_content_wt%_sqrt,elemental_composition,0.0033024883137335,0.0033024883137335,-0.0007720446090065,-0.0007720446090065,1.0,0.0,0.6666666666666666,0.6666666666666666,146.4,5,5,Low
main_morgan_r2_71,molecular_fingerprint,0.003225881513801,0.003225881513801,-0.0001705366659706,-0.0001705366659706,1.0,0.0,0.6666666666666666,0.6666666666666666,140.4,5,5,Low
Synergy_type_P-N-Si,other,0.0032210530684924,0.0053684217808206,-0.0011051528215485,-0.0018419213692475,0.6,0.0,1.0,0.0,219.2,3,5,Low
main_morgan_r2_101,molecular_fingerprint,0.0031688724215655,0.0039610905269569,-0.0001448284455915,-0.0001810355569894,0.8,0.0,0.6666666666666666,0.3333333333333333,165.2,4,5,Low
Si_content_wt%_sqrt,elemental_composition,0.0031681099924264,0.0079202749810661,0.0012350428394005,0.0030876070985014,0.4,0.0,1.0,1.0,210.4,2,5,Low
main_morgan_r2_114,molecular_fingerprint,0.0030729476919092,0.0030729476919092,-0.0006328577097028,-0.0006328577097028,1.0,0.0,0.5,0.5,177.0,5,5,Low
main_morgan_r2_25,molecular_fingerprint,0.0030609556301658,0.0030609556301658,-0.0014306122273616,-0.0014306122273616,1.0,0.0,0.5,0.5,167.2,5,5,Low
main_morgan_r2_125,molecular_fingerprint,0.0030352858868998,0.0030352858868998,0.0015568510593746,0.0015568510593746,1.0,0.0,0.6666666666666666,0.3333333333333333,152.8,5,5,Low
Si/P_ratio_sq,elemental_composition,0.0029722113349897,0.0037152641687371,0.0013034480770973,0.0016293100963716,0.8,0.0,0.75,0.75,160.2,4,5,Low
curing_HeavyAtomCount,molecular_descriptor,0.0029520843998831,0.0029520843998831,6.98654635437008e-05,6.98654635437008e-05,1.0,0.0,0.6666666666666666,0.6666666666666666,167.0,5,5,Low
main_morgan_r2_19,molecular_fingerprint,0.0029043192374661,0.0029043192374661,-0.0001298161064625,-0.0001298161064625,1.0,0.0,0.6666666666666666,0.6666666666666666,128.8,5,5,Low
main_morgan_r2_85,molecular_fingerprint,0.0028568905212883,0.0028568905212883,0.0001901997657255,0.0001901997657255,1.0,0.0,0.5,0.5,162.8,5,5,Low
P_loading_real_sq,formulation_loading,0.0026961581667814,0.0026961581667814,-0.0007985513435842,-0.0007985513435842,1.0,0.0,0.5,0.5,118.2,5,5,Low
Has_Si,elemental_composition,0.0026467873420965,0.0033084841776206,-0.0014892611430345,-0.0018615764287932,0.8,0.0,1.0,0.0,166.8,4,5,Low
main_morgan_r2_80,molecular_fingerprint,0.0026256950862437,0.0026256950862437,0.0005655232671476,0.0005655232671476,1.0,0.0,0.6666666666666666,0.6666666666666666,147.4,5,5,Low
main_morgan_r2_65,molecular_fingerprint,0.0025894499731713,0.0025894499731713,0.000629959837084,0.000629959837084,1.0,0.0,0.5,0.5,135.6,5,5,Low
main_morgan_r2_95,molecular_fingerprint,0.0025689651831288,0.0025689651831288,-0.0013499300975696,-0.0013499300975696,1.0,0.0,0.75,0.25,136.8,5,5,Low
main_morgan_r2_108,molecular_fingerprint,0.0025625730050935,0.0025625730050935,0.0005511685599785,0.0005511685599785,1.0,0.0,0.6666666666666666,0.6666666666666666,159.4,5,5,Low
main_morgan_r2_2,molecular_fingerprint,0.0025250826613151,0.0025250826613151,-6.775905464009052e-05,-6.775905464009052e-05,1.0,0.0,0.5,0.5,135.6,5,5,Low
main_morgan_r2_14,molecular_fingerprint,0.0025224018763855,0.0025224018763855,-0.0007975091295328,-0.0007975091295328,1.0,0.0,0.75,0.25,119.0,5,5,Low
main_morgan_r2_38,molecular_fingerprint,0.0025131480830604,0.0025131480830604,-0.0003226889081025,-0.0003226889081025,1.0,0.0,0.6666666666666666,0.3333333333333333,136.4,5,5,Low
main_morgan_r2_41,molecular_fingerprint,0.0024173364657026,0.0030216705821283,0.0005771598586554,0.0007214498233193,0.8,0.0,1.0,1.0,173.0,4,5,Low
curing_FractionCSP3,molecular_descriptor,0.0023819665101297,0.0023819665101297,5.187834297283988e-05,5.187834297283988e-05,1.0,0.0,0.75,0.75,143.8,5,5,Low
main_morgan_r2_17,molecular_fingerprint,0.0023812720111354,0.0023812720111354,0.0010606601979175,0.0010606601979175,1.0,0.0,0.5,0.5,143.6,5,5,Low
