feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
main_morgan_r3_325,molecular_fingerprint,0.0002026495691446,0.0002026495691446,-3.425297141114372e-05,-3.425297141114372e-05,1.0,0.0,0.75,0.25,336.2,5,5,Low
main_morgan_r3_193,molecular_fingerprint,0.000201290505692,0.000201290505692,-1.0939681354009352e-05,-1.0939681354009352e-05,1.0,0.0,0.5,0.5,322.0,5,5,Low
main_morgan_r3_108,molecular_fingerprint,0.0002008708250592,0.0002008708250592,-1.6888565110987334e-05,-1.6888565110987334e-05,1.0,0.0,0.75,0.75,377.6,5,5,Low
main_morgan_r3_307,molecular_fingerprint,0.0002006391442378,0.0002006391442378,-1.8699374699636765e-05,-1.8699374699636765e-05,1.0,0.0,0.75,0.75,349.4,5,5,Low
main_morgan_r3_491,molecular_fingerprint,0.0002000746784577,0.0002000746784577,5.209067550493138e-05,5.209067550493138e-05,1.0,0.0,0.5,0.5,395.2,5,5,Low
Co_FR_fraction,formulation_loading,0.0001999116673137,0.0001999116673137,4.414983672805622e-05,4.414983672805622e-05,1.0,0.0,0.75,0.75,370.6,5,5,Low
main_morgan_r3_196,molecular_fingerprint,0.0001994716211637,0.0001994716211637,3.478599067007964e-05,3.478599067007964e-05,1.0,0.0,0.75,0.75,327.0,5,5,Low
main_morgan_r3_382,molecular_fingerprint,0.0001972483217161,0.0001972483217161,5.707485455416064e-05,5.707485455416064e-05,1.0,0.0,0.5,0.5,361.6,5,5,Low
main_morgan_r3_2,molecular_fingerprint,0.0001969046330259,0.0001969046330259,5.987330200480065e-05,5.987330200480065e-05,1.0,0.0,0.75,0.75,289.2,5,5,Low
main_morgan_r3_418,molecular_fingerprint,0.0001949820188578,0.0001949820188578,-9.277162371949368e-05,-9.277162371949368e-05,1.0,0.0,0.5,0.5,389.4,5,5,Low
main_morgan_r3_373,molecular_fingerprint,0.0001944907907677,0.0001944907907677,-4.797422934980351e-05,-4.797422934980351e-05,1.0,0.0,0.5,0.5,400.2,5,5,Low
main_co_similarity,other,0.0001933161654398,0.0001933161654398,5.547736776978558e-05,5.547736776978558e-05,1.0,0.0,0.75,0.75,307.2,5,5,Low
